IATA,LATITUDE,LONGITUDE,TIMEZONE
YUB,69.43329620361328,-133.0260009765625,-7
YUL,45.4706001282,-73.7407989502,-5
YUT,66.5214004517,-86.22470092770001,-6
YUX,68.77610015869999,-81.2425,-5
YUY,48.20610046386719,-78.83560180664062,-5
YVC,55.151401519800004,-105.262001038,-6
YVG,53.355800628699996,-110.823997498,-7
YVM,67.5457992554,-64.03140258789999,-5
YVO,48.0532989502,-77.7827987671,-5
YVP,58.096099853515625,-68.4269027709961,-5
YVQ,65.28160095214844,-126.7979965209961,-7
YVR,49.193901062,-123.183998108,-8
YVT,55.8418998718,-108.417999268,-6
YVV,44.7458,-81.107201,-5
YWA,45.95220184326172,-77.31919860839844,-5
YWG,49.909999847399995,-97.2398986816,-6
YWK,52.92190170288086,-66.8644027709961,-4
YWL,52.1831016541,-122.054000854,-8
YWY,63.20940017700195,-123.43699645996094,-7
YXC,49.610801696777,-115.78199768066,-7
YXD,53.5724983215,-113.521003723,-7
YXE,52.170799255371094,-106.69999694824219,-6
YXH,50.01890182495117,-110.72100067138672,-7
YXJ,56.23809814453125,-120.73999786376953,-7
YXL,50.11389923095703,-91.9052963256836,-6
YXP,66.1449966431,-65.71360015869999,-5
YXR,47.697400654599996,-79.8473453522,-5
YXS,53.8894004822,-122.679000854,-8
YXT,54.468498,-128.576009,-8
YXU,43.035599,-81.1539,-5
YXX,49.025299072265625,-122.36100006103516,-8
YXY,60.7095985413,-135.067001343,-8
YYB,46.36360168457031,-79.42279815673828,-5
YYC,51.113899231,-114.019996643,-7
YYD,54.82469940185547,-127.18299865722656,-8
YYE,58.8363990784,-122.597000122,-8
YYF,49.46310043334961,-119.60199737548828,-8
YYG,46.290000915527344,-63.12110137939453,-4
YYH,69.5466995239,-93.5766983032,-7
YYJ,48.646900177,-123.426002502,-8
YYL,56.86389923095703,-101.07599639892578,-6
YYN,50.291900634799994,-107.691001892,-6
YYQ,58.739200592041016,-94.06500244140625,-6
YYR,53.3191986084,-60.4258003235,-4
YYT,47.618598938,-52.7518997192,-3.5
YYU,49.41389846801758,-82.46749877929688,-5
YYW,50.29029846191406,-88.90969848632812,-5
YYY,48.60860061645508,-68.20809936523438,-5
YYZ,43.6772003174,-79.63059997559999,-5
YZD,43.74250030517578,-79.4655990600586,-5
YZE,45.88529968261719,-82.56780242919922,-5
YZF,62.462799072265625,-114.44000244140625,-7
YZH,55.2930984497,-114.777000427,-7
YZP,53.25429916379999,-131.813995361,-8
YZR,42.9994010925293,-82.30889892578125,-5
YZT,50.680599212646484,-127.36699676513672,-8
YZU,54.14390182495117,-115.78700256347656,-7
YZV,50.22330093383789,-66.2656021118164,-5
YZW,60.17279815673828,-132.7429962158203,-8
YZX,44.98440170288086,-64.91690063476562,-4
ZFA,62.20750045776367,-133.37600708007812,-8
ZFM,67.40750122070312,-134.86099243164062,-7
.,36.50360107421875,2.8141698837280273,1
.,35.33250045776367,4.206389904022217,1
BJA,36.7120018005,5.0699200630200005,1
ALG,36.691001892089844,3.215409994125366,1
DJG,24.292800903299998,9.45244026184,1
QFD,36.545799,2.87611,1
.,26.710100173950195,0.2856470048427582,1
VVZ,26.7234992981,8.62265014648,1
.,35.52539825439453,2.8787100315093994,1
TMR,22.8115005493,5.45107984543,1
GJL,36.7951011658,5.87361001968,1
.,33.535900116,-0.242353007197,1
.,35.752201080322266,0.6262720227241516,1
AAE,36.822200775146484,7.809169769287109,1
CZL,36.2760009765625,6.620389938354492,1
TEE,35.4315986633,8.12071990967,1
HRM,32.93040084838867,3.311539888381958,1
TID,35.3410987854,1.46315002441,1
.,35.73540115356445,-0.8053889870643616,1
TIN,27.7003993988,-8.167099952700001,1
QAS,36.2126998901,1.33176994324,1
TAF,35.54240036010742,-0.5322780013084412,1
TLM,35.0167007446,-1.45000004768,1
ORN,35.6239013672,-0.6211829781529999,1
.,35.1717987061,-0.593275010586,1
MUW,35.207698822021484,0.14714199304580688,1
AZR,27.837600708007812,-0.18641400337219238,1
BSK,34.793300628699996,5.73823022842,1
ELG,30.571300506591797,2.8595900535583496,1
GHA,32.38410186767578,3.794110059738159,1
HME,31.673000335699996,6.140439987180001,1
INZ,27.250999450699997,2.51202011108,1
TGR,33.06779861450195,6.088669776916504,1
LOO,33.764400482199996,2.92833995819,1
TMX,29.2371006012,0.276033014059,1
OGX,31.917200088500977,5.412779808044434,1
IAM,28.0515003204,9.64291000366,1
COO,6.357230186462402,2.384350061416626,1
OUA,12.35319995880127,-1.5124200582504272,0
BOY,11.160099983215332,-4.33096981048584,0
ACC,5.605189800262451,-0.16678600013256073,0
TML,9.55718994140625,-0.8632140159606934,0
.,10.0826997756958,-2.507689952850342,0
NYI,7.361830234527588,-2.3287599086761475,0
TKD,4.896059989929199,-1.7747600078582764,0
ABJ,5.261390209197998,-3.9262900352478027,0
BYK,7.738800048828125,-5.073669910430908,0
DJO,6.792809963226318,-6.473189830780029,0
HGO,9.38718032837,-5.55666017532,0
MJC,7.272069931030273,-7.58735990524292,0
SPY,4.746719837188721,-6.660820007324219,0
ASK,6.9031701088,-5.36558008194,0
ABV,9.006790161132812,7.263169765472412,1
AKR,7.246739864349365,5.3010101318359375,1
BNI,6.316979885101318,5.5995001792907715,1
CBQ,4.976019859313965,8.347200393676758,1
ENU,6.474269866943359,7.561960220336914,1
QUS,12.171699523925781,6.696109771728516,1
IBA,7.362460136413574,3.97832989692688,1
ILR,8.440210342407227,4.493919849395752,1
JOS,9.639829635620117,8.869050025939941,1
KAD,10.696000099182129,7.320109844207764,1
KAN,12.047599792480469,8.524620056152344,1
MIU,11.855299949645996,13.080900192260742,1
MDI,7.7038798332214355,8.613940238952637,1
LOS,6.5773701667785645,3.321160078048706,1
MXJ,9.652170181274414,6.462259769439697,1
PHC,5.0154900550842285,6.94959020614624,1
SKO,12.916299819946289,5.207190036773682,1
YOL,9.257550239562988,12.430399894714355,1
ZAR,11.130200386047363,7.685810089111328,1
MFQ,13.5024995803833,7.1267499923706055,1
NIM,13.481499671936035,2.183609962463379,1
THZ,14.875699996948242,5.265359878540039,1
AJY,16.965999603271484,8.000109672546387,1
.,18.968700408935547,12.86870002746582,1
.,13.372900009155273,12.626700401306152,1
ZND,13.779000282287598,8.983759880065918,1
MIR,35.75809860229492,10.75469970703125,1
TUN,36.85100173950195,10.22719955444336,1
.,37.2453994751,9.79144954681,1
.,32.30619812011719,10.382100105285645,1
GAF,34.422000885009766,8.822500228881836,1
GAE,33.87689971923828,10.103300094604492,1
.,36.72129821777344,9.94314956665039,1
DJE,33.875,10.775500297546387,1
EBM,31.704299926757812,9.254619598388672,1
SFA,34.71799850463867,10.690999984741211,1
TOE,33.939701080322266,8.110560417175293,1
LRL,9.767330169677734,1.091249942779541,0
LFW,6.165609836578369,1.2545100450515747,0
ANR,51.1893997192,4.46027994156,1
.,50.75859832763672,4.768330097198486,1
.,51.168301,5.47,1
BRU,50.901401519800004,4.48443984985,1
.,49.891700744628906,5.2238898277282715,1
CRL,50.459201812699995,4.45382022858,1
.,50.575801849365234,3.8310000896453857,1
.,51.090301513671875,2.652780055999756,1
.,50.2433013916,4.64583015442,1
QKT,50.817199707,3.20472002029,1
LGG,50.63740158081055,5.443220138549805,1
OST,51.198898315399994,2.8622200489,1
.,50.9474983215332,5.590559959411621,1
.,50.791900634799994,5.20167016983,1
.,50.034400939941406,5.440810203552246,1
.,51.14419937133789,3.475559949874878,1
.,51.394798278808594,4.9601898193359375,1
.,51.264702,4.75333,1
.,51.19361114501953,14.519721984863281,1
AOC,50.9819450378418,12.506388664245605,1
.,51.831693541,12.1909618378,1
.,52.195856,14.58753,1
.,51.30805587768555,13.555556297302246,1
.,51.3630556,11.9408333,1
.,51.552223,12.053889,1
.,51.2936096191,13.3561105728,1
.,53.306388855,12.7522220612,1
.,52.5805549621582,13.916666984558105,1
.,52.2036094666,13.1563892365,1
BBH,54.338253,12.710515,1
.,50.915279388427734,11.714444160461426,1
.,52.918888092041016,12.425277709960938,1
.,52.073612,11.626389,1
.,51.36333465576172,14.949999809265137,1
.,53.83277893066406,13.668610572814941,1
.,51.889442,14.531944,1
.,51.29694366455078,14.1274995803833,1
SXF,52.380001068115,13.522500038147,1
DRS,51.1328010559082,13.767200469970703,1
ERF,50.979801177978516,10.958100318908691,1
FRA,50.0333333,8.5705556,1
FMO,52.134601593,7.68483018875,1
HAM,53.630401611328,9.9882297515869,1
THF,52.472999572753906,13.403900146484375,1
CGN,50.8658981323,7.1427397728,1
DUS,51.28950119018555,6.766779899597168,1
MUC,48.353801727295,11.786100387573,1
NUE,49.498699,11.0780556,1
LEJ,51.4238889,12.2363889,1
SCN,49.214599609400004,7.10950994492,1
STR,48.689899444599995,9.22196006775,1
TXL,52.5597000122,13.2876996994,1
HAJ,52.461101532,9.685079574580001,1
BRE,53.0475006104,8.78666973114,1
QEF,49.959999084472656,8.645833015441895,1
HHN,49.948699951200005,7.263889789579999,1
MHG,49.47305679321289,8.514166831970215,1
.,51.03499984741211,8.680832862854004,1
.,49.606945,8.368333,1
.,49.967499,8.147222,1
.,50.991604,10.47973,1
.,50.707698822021484,8.082969665527344,1
XFW,53.5352783203125,9.835556030273438,1
KEL,54.37944412231445,10.145277976989746,1
LBC,53.8054008484,10.7192001343,1
.,50.405555725,6.5288891792,1
.,51.099998474121094,7.599999904632568,1
ZCA,51.483890533447266,7.8983330726623535,1
ESS,51.40230178833008,6.9373297691345215,1
.,51.9647216797,8.544444084170001,1
MGL,51.23027801513672,6.504444122314453,1
PAD,51.614101409899995,8.616319656369999,1
.,51.99583435058594,6.8405561447143555,1
DTM,51.51829910279999,7.61223983765,1
AGB,48.425278,10.931667,1
.,48.11111068725586,9.762778282165527,1
.,48.39611053466797,12.723610877990723,1
.,48.1069450378418,10.524999618530273,1
OBF,48.08140182495117,11.283100128173828,1
RBM,48.90083312988281,12.516667366027832,1
.,48.6349983215332,13.195555686950684,1
.,47.858890533447266,10.014166831970215,1
FDH,47.671298980699994,9.51148986816,1
SZW,53.426998,11.7834,1
ZSN,52.62888717651367,11.818611145019531,1
.,48.77777862548828,10.264721870422363,1
BYU,49.98500061035156,11.640000343322754,1
.,49.794166564941,11.133610725403,1
HOQ,50.288612365722656,11.856389045715332,1
.,50.0180549621582,10.529443740844727,1
ZNV,50.325557708740234,7.528611183166504,1
ZQF,49.863887786865234,6.787499904632568,1
ZQC,49.30472183227539,8.45138931274414,1
ZQW,49.20940017700195,7.400559902191162,1
ZQL,47.97333145139999,8.52222156525,1
.,48.022777557400005,7.83249998093,1
.,48.053890228271484,9.372777938842773,1
.,49.1183319092,9.783888816829998,1
.,51.607498,13.743611,1
BWE,52.319199,10.5561,1
KSF,51.417273,9.384967,1
.,52.18138885498047,9.946389198303223,1
BRV,53.506943,8.572778,1
EME,53.391109466552734,7.227499961853027,1
.,53.271942138671875,7.441667079925537,1
WVN,53.502220153808594,8.05222225189209,1
BMK,53.5963897705,6.70916700363,1
NRD,53.70694351196289,7.230000019073486,1
FLF,54.77333450317383,9.378889083862305,1
.,54.220001220703125,9.599444389343262,1
GWT,54.9132003784,8.34047031403,1
.,59.26029968261719,24.208499908447266,2
KDL,58.99079895019531,22.830699920654297,2
URE,58.22990036010742,22.50950050354004,2
EPU,58.41899871826172,24.47279930114746,2
TLL,59.41329956049999,24.832799911499997,2
TAY,58.3074989319,26.690399169900004,2
ENF,68.362602233887,23.424299240112,2
.,61.1161003112793,22.201400756835938,2
KEV,61.856039,24.786686,2
HEM,60.254600524902344,25.042800903320312,2
HEL,60.317199707031,24.963300704956,2
.,61.689701080322266,23.073699951171875,2
.,59.848899841308594,23.083599090576172,2
HYV,60.6543998718,24.8810997009,2
.,60.4625015259,23.6525001526,2
.,61.24919891357422,28.90369987487793,2
.,62.1661,30.073601,2
IVL,68.607299804688,27.405300140381,2
JOE,62.662899017334,29.607500076294,2
JYV,62.399501800537,25.678300857544,2
KAU,63.127102,23.051399,2
KEM,65.778701782227,24.582099914551,2
KAJ,64.285499572754,27.692399978638,2
.,62.4625015259,22.3931007385,2
KOK,63.721199035645,23.143100738525,2
.,66.712898,27.156799,2
KAO,65.987602233887,29.239400863647,2
KTT,67.700996398926,24.846799850464,2
KUO,63.007099151611,27.797800064087,2
.,61.144199,25.693501,2
LPP,61.044601,28.144743,2
MHQ,60.122200012207,19.898199081421,2
.,62.94670104980469,23.51889991760254,2
MIK,61.6866,27.201799,2
.,60.333900451699996,24.2964000702,2
OUL,64.930099487305,25.354600906372,2
.,61.245601654052734,22.19339942932129,2
POR,61.461700439453,21.799999237061,2
.,65.4021987915,26.946899414100002,2
.,63.7318992615,25.926300048799998,2
.,64.6881027222,24.6958007812,2
.,62.0654983521,28.3565006256,2
RVN,66.564796447754,25.830400466919,2
.,60.74470138549805,24.107799530029297,2
SVL,61.943099975586,28.945100784302,2
.,61.062400817871094,26.798900604248047,2
SOT,67.3949966431,26.6191005707,2
TMP,61.414100646973,23.604400634766,2
.,61.7733,24.027,2
TKU,60.514099121094,22.262800216675,2
QVY,60.89640045166,26.938400268555,2
VAA,63.050701141357,21.762199401855,2
VRK,62.171100616455,27.868600845337,2
.,64.0547222,24.7252778,2
BFS,54.6575012207,-6.2158298492399995,0
ENK,54.39889907836914,-7.651669979095459,0
BHD,54.618099212646484,-5.872499942779541,0
LDY,55.04280090332031,-7.161109924316406,0
BHX,52.453899383499994,-1.74802994728,0
CVT,52.3697013855,-1.4797199964499999,0
.,52.6077995300293,-1.03193998336792,0
GLO,51.89419937133789,-2.167220115661621,0
.,52.51750183105469,-2.2594399452209473,0
.,51.668095,-2.05694,0
.,52.0407981873,-1.09555995464,0
.,52.19219970703125,-1.6144399642944336,0
MAN,53.35369873046875,-2.2749500274658203,0
.,53.3381,-2.14889,0
.,51.08720016479492,-4.1503400802612305,0
NQY,50.44060134887695,-4.995409965515137,0
LYE,51.5051,-1.99343,0
.,51.152198791503906,-1.7474100589752197,0
.,50.08610153198242,-5.255710124969482,0
.,51.40480041503906,-3.4357500076293945,0
YEO,51.0093994140625,-2.638819932937622,0
.,51.833099365234375,-4.9611101150512695,0
CWL,51.39670181274414,-3.343329906463623,0
SWS,51.60530090332031,-4.0678300857543945,0
BRS,51.382702,-2.71909,0
LPL,53.33359909057617,-2.849720001220703,0
LTN,51.874698638916016,-0.36833301186561584,0
PLH,50.422798,-4.10583,0
BOH,50.779998779296875,-1.8424999713897705,0
SOU,50.95029830932617,-1.3567999601364136,0
QLA,51.187198638916016,-1.0334999561309814,0
ACI,49.70610046386719,-2.2147200107574463,0
GCI,49.435001373291016,-2.6019699573516846,0
JER,49.20790100097656,-2.195509910583496,0
ESH,50.835601806640625,-0.29722198843955994,0
BQH,51.33079910279999,0.0324999988079,0
LGW,51.148101806640625,-0.19027799367904663,0
LCY,51.505299,0.055278,0
FAB,51.2757987976,-0.776332974434,0
.,51.67610168457031,-1.0808299779891968,0
BBS,51.32389831542969,-0.8475000262260437,0
LHR,51.4706,-0.461941,0
SEN,51.5713996887207,0.6955559849739075,0
LYX,50.95610046386719,0.9391670227050781,0
MSE,51.342201,1.34611,0
.,53.7197,-0.566333,0
CAX,54.9375,-2.8091700077056885,0
.,53.280601501464844,-0.9513890147209167,0
BLK,53.77170181274414,-3.0286099910736084,0
HUY,53.57440185546875,-0.350832998752594,0
BWF,54.1286111,-3.2675,0
LBA,53.86589813232422,-1.6605700254440308,0
.,53.74509811401367,-2.8830599784851074,0
CEG,53.1781005859375,-2.9777801036834717,0
IOM,54.08330154418945,-4.623889923095703,0
NCL,55.037498474121094,-1.6916699409484863,0
MME,54.50920104980469,-1.4294099807739258,0
EMA,52.8311004639,-1.32806003094,0
.,52.811698913574,-4.1235799789429,0
.,52.87120056152344,-2.533560037612915,0
.,52.79819869995117,-2.6680400371551514,0
.,53.581600189199996,-3.05552005768,0
KOI,58.957801818847656,-2.9049999713897705,0
LSI,59.87889862060547,-1.2955600023269653,0
WIC,58.458900451660156,-3.09306001663208,0
ABZ,57.201900482177734,-2.197779893875122,0
INV,57.54249954223633,-4.047500133514404,0
GLA,55.8718986511,-4.43306016922,0
EDI,55.95000076293945,-3.372499942779541,0
ILY,55.68190002441406,-6.256669998168945,0
PIK,55.5093994140625,-4.586669921875,0
BEB,57.48109817504883,-7.3627800941467285,0
SCS,60.43280029296875,-1.2961100339889526,0
DND,56.45249938964844,-3.025830030441284,0
SYY,58.215599060058594,-6.331110000610352,0
TRE,56.49919891357422,-6.869170188903809,0
ADX,56.37289810180664,-2.8684399127960205,0
LMO,57.7052001953125,-3.339169979095459,0
CBG,52.2050018311,0.17499999702,0
.,52.468101501464844,-0.2511110007762909,0
NWI,52.6758003235,1.28278005123,0
STN,51.8849983215,0.234999999404,0
.,51.721698761,0.154166996479,0
.,53.394299,-1.38849,0
.,52.0722007751,-0.616666972637,0
EXT,50.73440170288086,-3.4138898849487305,0
FZO,51.5194015503,-2.59083008766,0
OXF,51.8368988037,-1.32000005245,0
.,51.616401672399995,-1.09582996368,0
.,52.409301757799994,0.56099998951,0
MHZ,52.361900329589844,0.48640599846839905,0
.,52.1273002625,0.956264019012,0
.,52.3572006226,-0.107832998037,0
FFD,51.6822013855,-1.7900300025900002,0
BZZ,51.75,-1.58362,0
ODH,51.2341003418,-0.94282501936,0
.,52.639999,-2.30558,0
NHT,51.553001403799996,-0.418166995049,0
QCY,53.0929985046,-0.166014000773,0
.,54.1371994019,-1.42025005817,0
.,54.2924,-1.5354,0
.,53.834301,-1.1955,0
BEQ,52.34260177612305,0.7729390263557434,0
.,52.735699,-0.648769,0
.,53.307800293,-0.550832986832,0
.,52.6125984192,-0.476453006268,0
HRT,54.0489006042,-1.2527500391,0
WTN,53.1661987305,-0.523810982704,0
.,54.205501556399994,-1.3820899725,0
.,53.0303001404,-0.48324200511,0
.,52.962200164799995,-0.561625003815,0
KNF,52.648395,0.550692,0
MPN,-51.82279968261719,-58.447200775146484,-3
AMS,52.3086013794,4.763889789579999,1
.,51.2552986145,5.60138988495,1
MST,50.9117012024,5.77014017105,1
.,52.0606,5.87306,1
.,53.1192016602,6.12972021103,1
EIN,51.4500999451,5.37452983856,1
GRQ,53.1197013855,6.57944011688,1
.,51.56740188598633,4.931829929351807,1
DHR,52.92340087890625,4.780620098114014,1
LEY,52.46030044555664,5.527219772338867,1
LWR,53.228599548339844,5.760560035705566,1
RTM,51.956902,4.43722,1
UTC,52.1273002625,5.27618980408,1
ENS,52.2758333,6.8891667,1
LID,52.166099548300004,4.41794013977,1
WOE,51.4491,4.34203,1
ORK,51.84130096435547,-8.491109848022461,0
GWY,53.300201416015625,-8.941590309143066,0
DUB,53.42129898071289,-6.2700700759887695,0
NOC,53.910301208496094,-8.818490028381348,0
KIR,52.18090057373047,-9.52377986907959,0
.,53.301700592,-6.451330184940001,0
SNN,52.701999664307,-8.9248199462891,0
SXL,54.280200958252,-8.5992097854614,0
WAT,52.187198638916016,-7.0869598388671875,0
AAR,56.2999992371,10.619000434899998,1
BLL,55.7402992249,9.15178012848,1
CPH,55.617900848389,12.656000137329,1
EBJ,55.525901794433594,8.553400039672852,1
.,55.94139862060547,12.382200241088867,1
KRP,56.29750061035156,9.124629974365234,1
.,57.277198791503906,11.000100135803223,1
.,54.699299,11.4401,1
ODE,55.47669982910156,10.330900192260742,1
.,54.87030029296875,9.279009819030762,1
RKE,55.585601806640625,12.131400108337402,1
RNN,55.06330108642578,14.759599685668945,1
SGD,54.96440124511719,9.791729927062988,1
SKS,55.221048,9.26702,1
.,56.550201416015625,9.172980308532715,1
TED,57.06880187988281,8.705220222473145,1
.,55.4362983704,9.33092021942,1
FAE,62.0635986328125,-7.277219772338867,0
.,56.846901,9.45861,1
STA,55.9901008605957,8.353910446166992,1
AAL,57.0927589138,9.84924316406,1
LUX,49.6233333,6.2044444,1
AES,62.5625,6.119699954986572,1
ANX,69.292503356934,16.144199371338,1
ALF,69.976097106934,23.371700286865,1
.,60.63890075683594,6.501500129699707,1
BNN,65.461097717285,12.217499732971,1
BOO,67.26920318603516,14.365300178527832,1
BGO,60.29339981,5.218140125,1
BJF,70.60050201416,29.691400527954,1
KRS,58.204200744628906,8.085370063781738,1
.,60.417301177978516,8.518349647521973,1
BDU,69.055801391602,18.540399551392,1
EVE,68.491302490234,16.678100585938,1
VDB,61.015598297119,9.2880601882935,1
FRO,61.583599090576,5.0247201919556,1
OSL,60.193901062012,11.100399971008,1
HAU,59.34529876709,5.2083601951599,1
HAA,70.486701965332,22.139699935913,1
KSU,63.111801147461,7.824520111084,1
.,59.9692993164,11.036100387600001,1
KKN,69.725799560547,29.891300201416,1
FAN,58.0994987487793,6.626049995422363,1
MOL,62.744701385498,7.2624998092651,1
MJF,65.783996582031,13.214900016785,1
LKL,70.068801879883,24.973499298096,1
NTB,59.565701,9.21222,1
OLA,63.69889831542969,9.604000091552734,1
RRS,62.578399658203,11.342300415039,1
RYG,59.378817,10.785439,1
LYR,78.246101379395,15.465600013733,1
SKE,59.185001373291016,9.566940307617188,1
SRP,59.791900634765625,5.340849876403809,1
SSJ,65.956802368164,12.468899726868,1
TOS,69.68329620361328,18.918899536132812,1
TRF,59.1866989136,10.258600235,1
TRD,63.4578018,10.9239998,1
SVG,58.876701354,5.6377801895,1
.,52.26850128173828,20.910999298095703,1
